
Nstations =6;
Nacq= 78;
SizeAcq = [14798971,7399485,3699742,7399485,3699742,14798971,3699742,3699742,3699742,3699742,7399485,3699742,7399485,14798971,3699742,3699742,7399485,3699742,7399485,14798971,7399485,3699742,3699742,7399485,7399485,3699742,7399485,7399485,14798971,14798971,7399485,14798971,3699742,7399485,14798971,3699742,7399485,3699742,7399485,14798971,14798971,14798971,3699742,7399485,3699742,14798971,14798971,3699742,14798971,7399485,3699742,3699742,14798971,7399485,7399485,7399485,7399485,14798971,7399485,14798971,14798971,3699742,14798971,3699742,14798971,3699742,14798971,14798971,7399485,14798971,14798971,3699742,3699742,3699742,14798971,14798971,7399485,3699742];
Duration = [15,8,4,8,4,15,4,4,4,4,8,4,8,15,4,4,8,4,8,15,8,4,4,8,8,4,8,8,15,15,8,15,4,8,15,4,8,4,8,15,15,15,4,8,4,15,15,4,15,8,4,4,15,8,8,8,8,15,8,15,15,4,15,4,15,4,15,15,8,15,15,4,4,4,15,15,8,4];
DateAcq = [-1977,-1893,-763,-2067,-2001,-1909,-759,-2034,-742,-1879,-2153,-4803,-2073,-12533,-10752,-4881,-2055,-3664,-1909,-2103,-760,-695,-10752,-7825,-5116,-1912,-7844,-736,-4863,-749,-5037,-7770,-2087,-2021,-4985,-7767,-4899,-4885,-7747,13536,7686,7665,7657,7678,5042,4948,5061,5071,5030,5050,4957,12337,12421,12345,5096,1655,7744,1757,1664,1677,1766,4909,3619,3458,3638,3630,5004,4879,4836,4931,4990,5129,5021,4980,4851,4971,4813,5083];
PriorityAcq = [0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1];
UserAcq = [0,1,2,2,2,2,2,1,0,0,1,0,2,1,1,0,2,2,1,2,2,1,1,2,0,1,1,1,2,1,0,1,1,1,2,2,0,2,2,2,1,0,0,2,0,1,0,2,1,2,2,0,0,0,0,1,1,0,0,0,1,2,0,1,2,0,1,1,0,2,0,2,0,1,1,1,1,1];
IdxAcq = [1,4,5,7,11,17,18,19,20,21,23,25,27,28,31,35,40,45,47,48,54,59,65,66,68,69,70,75,77,79,82,86,88,91,93,94,95,98,99,1,2,3,4,5,12,13,27,28,31,42,58,70,71,72,77,80,81,82,83,85,86,96,108,115,129,130,137,143,146,149,152,158,168,171,173,174,175,177];
OrAcq = [REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND];
NW =5;
IdxWindows= [,1,4,5,6,10];
StartTimeWindows= [,4636,0,5638,11479,5227];
EndTimeWindows= [,5137,354,6139,11884,5425];
OutputFile = "DownloadPlan_SAT2.txt";
